Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,mAU
-0.879719,20.139786,-0.733549,9.386646,0.436264,0,,,,,0.14618,-0.123261
-0.878966,21.053398,-0.732042,9.386584,0.443801,0,,,,,0.146933,-0.123259
-0.878212,21.947309,-0.730535,9.38656,0.451338,0,,,,,0.147687,-0.123257
-0.877459,22.819963,-0.729028,9.386569,0.458875,0,,,,,0.14844,-0.123255
-0.876705,23.668629,-0.727521,9.386607,0.466412,0,,,,,0.149194,-0.123253
-0.875952,24.495241,-0.726014,9.386677,0.473948,0,,,,,0.149947,-0.123251
-0.875198,25.305717,-0.724507,9.38671,0.481485,0,,,,,0.150701,-0.123249
-0.874445,26.098341,-0.723,9.38678,0.489022,0,,,,,0.151454,-0.123247
-0.873691,26.878181,-0.721493,9.386802,0.496559,0,,,,,0.152208,-0.123246
-0.872938,27.636642,-0.719986,9.386872,0.504096,0,,,,,0.152961,-0.123245
-0.872184,28.375654,-0.718479,9.386895,0.511633,0,,,,,0.153715,-0.123243
-0.871431,29.091312,-0.716972,9.386907,0.51917,0,,,,,0.154468,-0.123242
-0.870677,29.763927,-0.715465,9.386963,0.526707,0,,,,,0.155222,-0.123241
-0.869924,30.400089,-0.713958,9.387059,0.534244,0,,,,,0.155975,-0.123239
-0.86917,31.007803,-0.712451,9.387146,0.541781,0,,,,,0.156729,-0.123238
-0.868417,31.596518,-0.710944,9.387186,0.549318,0,,,,,0.157483,-0.123237
-0.867663,32.174713,-0.709437,9.387256,0.556855,0,,,,,0.158236,-0.123235
-0.86691,32.741898,-0.70793,9.387325,0.564392,0,,,,,0.158989,-0.123233
-0.866156,33.298447,-0.706423,9.387375,0.571929,0,,,,,0.159743,-0.123231
-0.865403,33.847713,-0.704916,9.38743,0.579465,0,,,,,0.160496,-0.123229
-0.864649,34.383053,-0.703409,9.387465,0.587002,0,,,,,0.16125,-0.123227
-0.863896,34.910797,-0.701902,9.387492,0.594539,0,,,,,0.162004,-0.123225
-0.863142,35.424324,-0.700395,9.387511,0.602076,0,,,,,0.162757,-0.123223
-0.862389,35.92725,-0.698888,9.387489,0.609613,0,,,,,0.16351,-0.123221
-0.861635,36.425217,-0.697381,9.387416,0.61715,0,,,,,0.164264,-0.123219
-0.860882,36.919598,-0.695874,9.387341,0.624687,0,,,,,0.165017,-0.123217
