Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,Fraction,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,Fraction,ml,mAU
-0.862042,1.387583,-0.698401,16.459974,0.61109,0,,,,,,,0.163641,-1.311795
-0.861211,1.417134,-0.69674,16.460009,0.619399,0,,,,,,,0.164471,-1.311795
-0.860381,1.446688,-0.695078,16.459988,0.627707,0,,,,,,,0.165302,-1.311795
-0.85955,1.477078,-0.693417,16.459938,0.636016,0,,,,,,,0.166133,-1.311795
-0.858719,1.507623,-0.691756,16.45999,0.644324,0,,,,,,,0.166963,-1.311795
-0.857889,1.538028,-0.690094,16.4601,0.652633,0,,,,,,,0.167794,-1.311795
-0.857058,1.567579,-0.688433,16.460218,0.660941,0,,,,,,,0.168625,-1.311795
-0.856227,1.59603,-0.686772,16.460211,0.66925,0,,,,,,,0.169455,-1.311795
-0.855397,1.623585,-0.68511,16.460176,0.677558,0,,,,,,,0.170286,-1.311795
-0.854566,1.652557,-0.683449,16.460251,0.685867,0,,,,,,,0.171117,-1.311795
-0.853735,1.680575,-0.681788,16.460299,0.694175,0,,,,,,,0.171947,-1.311795
-0.852905,1.708311,-0.680126,16.460289,0.702484,0,,,,,,,0.172778,-1.311795
-0.852074,1.735979,-0.678465,16.46036,0.710792,0,,,,,,,0.173609,-1.311795
-0.851243,1.762936,-0.676804,16.460487,0.719101,0,,,,,,,0.174439,-1.311795
-0.850413,1.788563,-0.675142,16.4606,0.727409,0,,,,,,,0.17527,-1.311795
-0.849582,1.813085,-0.673481,16.46067,0.735718,0,,,,,,,0.176101,-1.311795
-0.848751,1.835546,-0.67182,16.460752,0.744026,0,,,,,,,0.176931,-1.311795
-0.847921,1.857646,-0.670159,16.460779,0.752335,0,,,,,,,0.177762,-1.311795
-0.84709,1.878053,-0.668497,16.460842,0.760643,0,,,,,,,0.178593,-1.311795
-0.846259,1.897296,-0.666836,16.460888,0.768952,0,,,,,,,0.179423,-1.311795
-0.845429,1.914302,-0.665174,16.460949,0.77726,0,,,,,,,0.180254,-1.311795
-0.844598,1.929028,-0.663513,16.461004,0.785569,0,,,,,,,0.181085,-1.311795
-0.843767,1.940078,-0.661852,16.461023,0.793877,0,,,,,,,0.181915,-1.311795
-0.842937,1.949731,-0.66019,16.461046,0.802186,0,,,,,,,0.182746,-1.311795
-0.842106,1.957798,-0.658529,16.461098,0.810494,0,,,,,,,0.183577,-1.311795
-0.841275,1.963976,-0.656868,16.461201,0.818803,0,,,,,,,0.184407,-1.311795
-0.840445,1.965964,-0.655207,16.461283,0.827111,0,,,,,,,0.185238,-1.311795
-0.839614,1.96776,-0.653545,16.461355,0.83542,0,,,,,,,0.186069,-1.311795
-0.838783,1.967445,-0.651884,16.461369,0.843728,0,,,,,,,0.186899,-1.311795
-0.837953,1.965055,-0.650223,16.461388,0.852037,0,,,,,,,0.18773,-1.311795
-0.837122,1.961626,-0.648561,16.461451,0.860345,0,,,,,,,0.188561,-1.311795
-0.836291,1.957249,-0.6469,16.461502,0.868654,0,,,,,,,0.189391,-1.311795
-0.835461,1.95058,-0.645239,16.461573,0.876962,0,,,,,,,0.190222,-1.311795
-0.83463,1.943676,-0.643577,16.461639,0.88527,0,,,,,,,0.191053,-1.311795
-0.833799,1.934374,-0.641916,16.461674,0.893579,0,,,,,,,0.191883,-1.311795
-0.832969,1.9229,-0.640255,16.461695,0.901888,0,,,,,,,0.192714,-1.311795
-0.832138,1.912248,-0.638593,16.461695,0.910196,0,,,,,,,0.193545,-1.311795
-0.831307,1.899564,-0.636932,16.461714,0.918504,0,,,,,,,0.194375,-1.311795
-0.830477,1.887024,-0.635271,16.461712,0.926813,0,,,,,,,0.195206,-1.311795
-0.829646,1.871945,-0.633609,16.461679,0.935121,0,,,,,,,0.196037,-1.311795
-0.828815,1.856223,-0.631948,16.461683,0.94343,0,,,,,,,0.196867,-1.311795
-0.827985,1.838069,-0.630287,16.461662,0.951738,0,,,,,,,0.197698,-1.311795
-0.827154,1.822955,-0.628625,16.461752,0.960047,0,,,,,,,0.198529,-1.311795
-0.826323,1.806731,-0.626964,16.461803,0.968355,0,,,,,,,0.199359,-1.311795
-0.825493,1.790052,-0.625303,16.461777,0.976664,0,,,,,,,0.20019,-1.311795
-0.824662,1.772749,-0.623641,16.461773,0.984972,0,,,,,,,0.201021,-1.311795
-0.823831,1.754896,-0.62198,16.461765,0.993281,0,,,,,,,0.201851,-1.311795
-0.823001,1.736073,-0.620319,16.461714,1.001589,0,,,,,,,0.202682,-1.311795
-0.82217,1.716644,-0.618657,16.46167,1.009898,0,,,,,,,0.203513,-1.311795
-0.821339,1.696391,-0.616996,16.461653,1.018206,0,,,,,,,0.204343,-1.311795
-0.820509,1.67618,-0.615335,16.46163,1.026515,0,,,,,,,0.205174,-1.311795
-0.819678,1.656937,-0.613673,16.461615,1.034823,0,,,,,,,0.206005,-1.311795
-0.818847,1.638355,-0.612012,16.461622,1.043132,0,,,,,,,0.206835,-1.311795
-0.818017,1.619664,-0.610351,16.461586,1.05144,0,,,,,,,0.207666,-1.311795
-0.817186,1.600022,-0.608689,16.461529,1.059749,0,,,,,,,0.208497,-1.311795
-0.816355,1.580516,-0.607028,16.461473,1.068057,0,,,,,,,0.209327,-1.311795
-0.815525,1.561317,-0.605367,16.461456,1.076366,0,,,,,,,0.210158,-1.311795
-0.814694,1.541898,-0.603705,16.461454,1.084674,0,,,,,,,0.210989,-1.311795
-0.813863,1.522871,-0.602044,16.461374,1.092983,0,,,,,,,0.211819,-1.311795
-0.813033,1.503645,-0.600383,16.461296,1.101291,0,,,,,,,0.21265,-1.311795
-0.812202,1.484485,-0.598721,16.461287,1.1096,0,,,,,,,0.213481,-1.311795
